# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1413393216.95576 -0.009454 0.027043 0.011411 0.569457 -0.557998 0.421321 0.432255 0.0007880988 -0.0000000037 0.0000000185 0.0007880766 -0.0000000042 0.0007880826 0.0127743963 0.0000001208 0.0000203939 0.0127741032 -0.0000595794 0.0026932389
1413393217.00576 -0.009454 0.031847 0.018123 0.569815 -0.558056 0.419524 0.433457 0.0008284893 -0.0000000082 0.0000000294 0.0008284556 -0.0000000080 0.0008284687 0.0151677853 0.0000001396 0.0000223328 0.0151673520 -0.0000789037 0.0027244271
1413393217.05576 -0.008688 0.037567 0.026626 0.570800 -0.558995 0.417606 0.432801 0.0008708799 -0.0000000105 0.0000000419 0.0008708311 -0.0000000099 0.0008708536 0.0179860085 0.0000001413 0.0000218636 0.0179853671 -0.0001043652 0.0027594379
1413393217.10576 -0.007159 0.044227 0.037810 0.570917 -0.559716 0.416675 0.432613 0.0009152701 -0.0000000112 0.0000000556 0.0009152045 -0.0000000105 0.0009152375 0.0212900739 0.0000001122 0.0000181469 0.0212891377 -0.0001373652 0.0027986228
1413393217.15576 -0.004842 0.051792 0.050146 0.570957 -0.560873 0.415961 0.431747 0.0009616610 -0.0000000110 0.0000000691 0.0009615775 -0.0000000104 0.0009616199 0.0251292957 0.0000000334 0.0000100995 0.0251279614 -0.0001791885 0.0028423532
1413393217.20596 0.006559 0.029159 0.072224 0.572065 -0.562921 0.413715 0.429769 0.0003970110 0.0000150699 -0.0000980330 0.0000319275 -0.0000009146 0.0000474581 0.0025794960 -0.0000074191 0.0000090616 0.0026036587 0.0000908980 0.0026900653
1413393217.25592 0.010949 0.031945 0.080427 0.572108 -0.562853 0.412376 0.431086 0.0003916352 0.0000175078 -0.0001015434 0.0000211774 0.0000000388 0.0000469314 0.0025744390 -0.0000119323 0.0000072899 0.0025631488 0.0000372172 0.0026260363
1413393217.30584 0.015779 0.036322 0.088123 0.572405 -0.563163 0.411178 0.431432 0.0003870689 0.0000182103 -0.0001042130 0.0000190249 -0.0000011607 0.0000453489 0.0025734884 -0.0000106927 0.0000126809 0.0025588414 0.0000328019 0.0026268757
1413393217.35565 0.021726 0.042512 0.096552 0.572748 -0.563806 0.410840 0.430457 0.0003830378 0.0000173226 -0.0001070087 0.0000165354 -0.0000021073 0.0000440946 0.0025726802 -0.0000103101 0.0000150686 0.0025553283 0.0000280794 0.0026208246
1413393217.40562 0.028476 0.049826 0.104768 0.573059 -0.564675 0.409656 0.430032 0.0003799290 0.0000166081 -0.0001092351 0.0000141458 -0.0000027037 0.0000433410 0.0025716996 -0.0000108148 0.0000145497 0.0025521250 0.0000228352 0.0026089983
1413393217.45556 0.036029 0.057708 0.112493 0.573472 -0.565463 0.408541 0.429507 0.0003774247 0.0000157845 -0.0001111474 0.0000121879 -0.0000031808 0.0000428341 0.0025710214 -0.0000121187 0.0000128191 0.0025497291 0.0000181348 0.0025968398
1413393217.50551 0.044243 0.066594 0.119188 0.573828 -0.565462 0.408352 0.429212 0.0003755815 0.0000152958 -0.0001123746 0.0000105817 -0.0000037673 0.0000422690 0.0025710648 -0.0000138334 0.0000113163 0.0025480930 0.0000143657 0.0025871928
1413393217.55556 0.055453 0.076027 0.126820 0.573188 -0.566456 0.407535 0.429533 0.0003741754 0.0000145612 -0.0001127056 0.0000093490 -0.0000036596 0.0000416115 0.0025696389 -0.0000152451 0.0000093703 0.0025459619 0.0000106575 0.0025765811
1413393217.60574 0.066491 0.087107 0.133196 0.573441 -0.566368 0.406965 0.429851 0.0003732667 0.0000144219 -0.0001132690 0.0000085208 -0.0000039733 0.0000413579 0.0025707750 -0.0000172848 0.0000085535 0.0025456300 0.0000089218 0.0025713305
1413393217.65562 0.078187 0.099019 0.138890 0.573649 -0.566316 0.406958 0.429649 0.0003726436 0.0000141720 -0.0001137590 0.0000079731 -0.0000040747 0.0000413394 0.0025724985 -0.0000193962 0.0000082246 0.0025456281 0.0000077234 0.0025674233
1413393217.70560 0.089703 0.111313 0.144626 0.573539 -0.566363 0.406660 0.430017 0.0003723093 0.0000142111 -0.0001138480 0.0000075560 -0.0000041854 0.0000411811 0.0025744504 -0.0000215154 0.0000081567 0.0025460182 0.0000070924 0.0025644092
