# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403636624.46356 -0.007811 -0.025537 0.009584 0.609151 -0.527341 0.467468 0.363759 0.0008080437 0.0000000113 0.0000000004 0.0008080636 0.0000000011 0.0008080384 0.0138865430 -0.0000000917 0.0000185082 0.0138863123 0.0000538685 0.0027082091
1403636624.51356 -0.010785 -0.025386 0.010883 0.610584 -0.530016 0.463591 0.362427 0.0008494173 0.0000000223 0.0000000004 0.0008494606 0.0000000012 0.0008494076 0.0164438608 -0.0000001274 0.0000291378 0.0164436774 0.0000580424 0.0027411143
1403636624.56356 -0.014053 -0.025047 0.012476 0.611472 -0.532107 0.460531 0.361767 0.0008927792 0.0000000388 0.0000000004 0.0008928551 0.0000000013 0.0008927626 0.0194338897 -0.0000001643 0.0000427560 0.0194337781 0.0000614892 0.0027779539
1403636624.61356 -0.018034 -0.024666 0.014064 0.612290 -0.532017 0.458645 0.362911 0.0009381337 0.0000000594 0.0000000013 0.0009382473 0.0000000030 0.0009381081 0.0229071778 -0.0000002106 0.0000614415 0.0229071751 0.0000644875 0.0028190769
1403636624.66311 -0.029192 -0.012536 -0.002419 0.611889 -0.530855 0.458412 0.365571 0.0009134650 -0.0000295443 -0.0002297090 0.0001965365 0.0000047659 0.0002401120 0.0028254344 -0.0000005862 -0.0000169895 0.0034992381 0.0001775322 0.0026163717
1403636624.71170 -0.028238 -0.019430 -0.003450 0.614628 -0.524140 0.453926 0.376113 0.0003739451 -0.0000102532 -0.0001199591 0.0000075616 0.0000032557 0.0000465787 0.0025244296 -0.0000019222 -0.0000002330 0.0025359163 0.0000027007 0.0025248274
1403636624.76176 -0.030864 -0.016305 -0.003275 0.614413 -0.522223 0.454068 0.378948 0.0003774843 -0.0000014249 -0.0001154000 0.0000074985 0.0000003032 0.0000434520 0.0025231058 -0.0000016415 -0.0000001148 0.0025346861 0.0000026782 0.0025242457
1403636624.81184 -0.033806 -0.010976 -0.003639 0.618988 -0.520465 0.447794 0.381380 0.0003760509 0.0000047008 -0.0001177763 0.0000076487 -0.0000015791 0.0000451422 0.0025218111 -0.0000013149 0.0000000139 0.0025327818 0.0000026472 0.0025228393
1403636624.86234 -0.037446 -0.003957 -0.002350 0.623578 -0.519196 0.441882 0.382526 0.0003743695 0.0000093989 -0.0001205336 0.0000077197 -0.0000029783 0.0000469629 0.0025205342 -0.0000009697 0.0000001153 0.0025300931 0.0000026412 0.0025207358
1403636624.91292 -0.041633 0.004734 0.001542 0.630185 -0.518695 0.432896 0.382652 0.0003704599 0.0000152243 -0.0001256832 0.0000078457 -0.0000049120 0.0000505331 0.0025194089 -0.0000006252 0.0000002310 0.0025270629 0.0000028395 0.0025180386
1403636624.96334 -0.046933 0.012867 0.009730 0.636393 -0.518172 0.424049 0.382995 0.0003662982 0.0000202002 -0.0001306302 0.0000080323 -0.0000068980 0.0000543556 0.0025187921 -0.0000000501 0.0000004391 0.0025246395 0.0000029302 0.0025159748
1403636625.01326 -0.051277 0.019079 0.019081 0.641287 -0.518234 0.417427 0.382021 0.0003622878 0.0000233297 -0.0001348815 0.0000084670 -0.0000082728 0.0000582387 0.0025185780 0.0000003100 0.0000006086 0.0025234844 0.0000028976 0.0025151473
1403636625.06391 -0.053624 0.025938 0.029003 0.645551 -0.519579 0.410934 0.380046 0.0003580936 0.0000252456 -0.0001386401 0.0000084333 -0.0000090122 0.0000617114 0.0025185291 0.0000004632 0.0000006128 0.0025212267 0.0000026001 0.0025131944
1403636625.11402 -0.054575 0.030040 0.041390 0.648135 -0.521469 0.407113 0.377161 0.0003548715 0.0000253007 -0.0001421733 0.0000086383 -0.0000092718 0.0000654077 0.0025189085 0.0000007779 0.0000008749 0.0025203135 0.0000025314 0.0025126390
