# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715893.58406 0.004648 -0.017657 0.015016 0.550678 -0.595347 0.385983 0.439696 0.0007959739 0.0000000141 0.0000000030 0.0007960327 0.0000000133 0.0007959736 0.0132272997 0.0000000362 -0.0000115406 0.0132271772 0.0000390503 0.0026989223
1403715893.63406 0.007393 -0.020136 0.021109 0.546798 -0.593148 0.392354 0.441866 0.0008366982 0.0000000311 0.0000000070 0.0008368260 0.0000000306 0.0008366981 0.0156959764 0.0000000653 -0.0000206570 0.0156958317 0.0000498843 0.0027307556
1403715893.68406 0.010643 -0.022193 0.027076 0.545096 -0.592289 0.395829 0.442023 0.0008793918 0.0000000559 0.0000000137 0.0008796139 0.0000000579 0.0008793930 0.0185860685 0.0000001013 -0.0000332321 0.0185859212 0.0000609972 0.0027664238
1403715893.73406 0.013830 -0.024028 0.033845 0.543944 -0.592715 0.397898 0.441012 0.0009240733 0.0000000862 0.0000000234 0.0009243957 0.0000000924 0.0009240773 0.0219555970 0.0000001397 -0.0000479299 0.0219554702 0.0000728051 0.0028062489
1403715893.78360 0.015425 0.033040 0.042578 0.542157 -0.590734 0.401262 0.442819 0.0007214672 0.0000273886 -0.0001996468 0.0001580908 0.0000070752 0.0002376992 0.0027219697 -0.0000386309 0.0001134747 0.0030018727 -0.0001116521 0.0028249263
1403715893.83130 0.002508 -0.007836 -0.008210 0.545294 -0.589941 0.402190 0.439166 0.0003818779 0.0000122670 -0.0001087987 0.0000214113 0.0000002940 0.0000441794 0.0025502043 0.0000050666 0.0000191897 0.0025916142 0.0000241146 0.0025806786
1403715893.88285 0.008252 -0.005650 0.001924 0.546976 -0.592236 0.400096 0.435887 0.0003776803 0.0000071098 -0.0001130866 0.0000162875 -0.0000004143 0.0000443577 0.0025472211 0.0000063653 0.0000169036 0.0025831671 0.0000237228 0.0025760018
1403715893.93360 0.011813 -0.001180 0.009602 0.547949 -0.593797 0.398914 0.433619 0.0003760826 0.0000054607 -0.0001149826 0.0000149143 -0.0000003885 0.0000448045 0.0025470396 0.0000060548 0.0000177138 0.0025758890 0.0000241903 0.0025776904
1403715893.98385 0.015484 0.004971 0.017011 0.549990 -0.596455 0.395576 0.430432 0.0003736475 0.0000049998 -0.0001185015 0.0000149492 -0.0000003740 0.0000467169 0.0025474715 0.0000055493 0.0000188782 0.0025731405 0.0000246393 0.0025816751
1403715894.03401 0.019869 0.011284 0.024728 0.552225 -0.600144 0.391257 0.426371 0.0003700610 0.0000044388 -0.0001234196 0.0000148246 -0.0000004446 0.0000497625 0.0025482798 0.0000053435 0.0000196511 0.0025693132 0.0000251788 0.0025848504
